,Unnamed: 0,sql_id,nl_query,sql,GT_sql,tianyi,record_id_x,tianyi_code,zhengn,record_id_y,zhengn_code
0,0,1694,Which customers made orders between 2009-01-01 and 2010-01-01? Find their names.,SELECT customers.customer_name FROM customers JOIN orders ON customers.customer_id = orders.customer_id WHERE orders.date_order_placed = '2009-01-01' OR orders.date_order_placed<'2010-01-01',"SELECT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.date_order_placed >= ""2009-01-01"" AND T2.date_order_placed <= ""2010-01-01""",tianyi,10e9d7c9-18a5-4611-a92d-4c364070d01c,"F1, F2",zhengning,8afccbcc-bdd9-4e30-bff3-16a809dc1568,F2
1,1,1834,What is the founded year of the non public school that was founded most recently?,SELECT university.founded FROM university WHERE university.founded > (SELECT MAX( university.founded ) FROM university WHERE university.affiliation != 'public'),SELECT founded FROM university WHERE affiliation != 'Public' ORDER BY founded DESC LIMIT 1,tianyi,63cb7e43-77e4-46cb-bfea-dbf5fffb1683,"D1a, A1a, KA1b",zhengning,a5dcab51-a736-4596-9870-d55649e5c3c4,"A1a, KA1b"
2,2,2303,What are the ids of all students who played video games and sports?,SELECT plays_games.stuid FROM plays_games INTERSECT SELECT sportsinfo.sportname FROM sportsinfo,SELECT StuID FROM Sportsinfo INTERSECT SELECT StuID FROM Plays_games,tianyi,83459448-3642-4fa3-bc91-a5a333b1725c,CL1,zhengning,3e38d0e5-c062-4f69-8e4b-faff8f1f0e63,CL1
3,3,1728,"What are the names , themes , and number of singers for every concert ?","SELECT concert.concert_name , concert.theme , COUNT( * ) FROM concert JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY concert.theme","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",tianyi,ea78b826-53f5-4f19-b15c-e75f0cc44fd4,BN1,zhengning,45c3478b-4fe0-43cd-b7e8-b31ba988894f,"CL1, BN1"
4,4,1815,Show the album names and ids for albums that contain tracks with unit price bigger than 1.,"SELECT album.title , album.albumid FROM album JOIN track ON album.albumid = track.albumid WHERE track.unitprice > 1","SELECT T1.Title ,  T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId WHERE T2.UnitPrice  >  1 GROUP BY T2.AlbumID",tianyi,f14ab50c-3836-4e92-a503-f918a63f6391,AN2,zhengning,f13c984f-e2d9-4e6d-b04a-289d2310d2ee,"CL1, AN2"
5,5,2384,What model has the most different versions?,SELECT model_list.model FROM model_list GROUP BY model_list.model ORDER BY COUNT( * ) DESC LIMIT 1,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,tianyi,e42d5108-7d9c-4d91-a691-b62d46ac3275,CL1,zhengning,91c4d498-66d3-48f7-8015-e49dabee6da8,CL1
6,6,2188,What is the maximum and minimum grade point of students who live in NYC?,"SELECT MAX( gradeconversion.gradepoint ) , MIN( gradeconversion.gradepoint ) FROM student WHERE student.city_code = 'NYC'","SELECT max(T2.gradepoint) ,  min(T2.gradepoint) FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T3.city_code  =  ""NYC""",tianyi,927ff72b-72a6-4c7f-88dc-1dc348aef8e1,CE2,zhengning,a356fe7f-3ce4-4e8d-abf4-b1dfad9c1aec,CE2
7,7,525,What are the advisors,SELECT student.advisor FROM student,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,tianyi,850aca7c-de59-4db8-8498-68c715054073,"A1f, AN2",zhengning,e05a76bf-d80e-4df3-bcd0-c38c643de429,"AN2, F4"
8,8,517,Count the number of video games with Massively multiplayer online game type .,SELECT COUNT( * ) FROM video_games WHERE video_games.gtype = 'Massively multiplayer online',"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game""",tianyi,af78b05e-c021-4717-ac40-fa022434d774,D1,zhengning,20f4f639-e477-4a58-b9a8-b2f89c80c078,D1
9,9,1098,How many songs have 4 minute duration?,SELECT COUNT( * ) FROM files WHERE files.duration = '4',"SELECT count(*) FROM files WHERE duration LIKE ""4:%""",tianyi,b89c3446-b748-47d3-af41-f121dabc3980,D1,zhengning,d8fca387-5659-4276-b5b4-6d9f5a1fae10,D1c
