,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,error_classification_y
0,1694,Which customers made orders between 2009-01-01 and 2010-01-01? Find their names.,SELECT customers.customer_name FROM customers JOIN orders ON customers.customer_id = orders.customer_id WHERE orders.date_order_placed = '2009-01-01' OR orders.date_order_placed<'2010-01-01',"SELECT T1.customer_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id = T2.customer_id WHERE T2.date_order_placed >= ""2009-01-01"" AND T2.date_order_placed <= ""2010-01-01""",zhengning,8afccbcc-bdd9-4e30-bff3-16a809dc1568,F2
1,1834,What is the founded year of the non public school that was founded most recently?,SELECT university.founded FROM university WHERE university.founded > (SELECT MAX( university.founded ) FROM university WHERE university.affiliation != 'public'),SELECT founded FROM university WHERE affiliation != 'Public' ORDER BY founded DESC LIMIT 1,zhengning,a5dcab51-a736-4596-9870-d55649e5c3c4,"A1a, KA1b"
2,2303,What are the ids of all students who played video games and sports?,SELECT plays_games.stuid FROM plays_games INTERSECT SELECT sportsinfo.sportname FROM sportsinfo,SELECT StuID FROM Sportsinfo INTERSECT SELECT StuID FROM Plays_games,zhengning,3e38d0e5-c062-4f69-8e4b-faff8f1f0e63,CL1
3,1728,"What are the names , themes , and number of singers for every concert ?","SELECT concert.concert_name , concert.theme , COUNT( * ) FROM concert JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY concert.theme","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",zhengning,45c3478b-4fe0-43cd-b7e8-b31ba988894f,"CL1, BN1"
4,1815,Show the album names and ids for albums that contain tracks with unit price bigger than 1.,"SELECT album.title , album.albumid FROM album JOIN track ON album.albumid = track.albumid WHERE track.unitprice > 1","SELECT T1.Title ,  T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId WHERE T2.UnitPrice  >  1 GROUP BY T2.AlbumID",zhengning,f13c984f-e2d9-4e6d-b04a-289d2310d2ee,"CL1, AN2"
5,2384,What model has the most different versions?,SELECT model_list.model FROM model_list GROUP BY model_list.model ORDER BY COUNT( * ) DESC LIMIT 1,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,zhengning,91c4d498-66d3-48f7-8015-e49dabee6da8,CL1
6,2188,What is the maximum and minimum grade point of students who live in NYC?,"SELECT MAX( gradeconversion.gradepoint ) , MIN( gradeconversion.gradepoint ) FROM student WHERE student.city_code = 'NYC'","SELECT max(T2.gradepoint) ,  min(T2.gradepoint) FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T3.city_code  =  ""NYC""",zhengning,a356fe7f-3ce4-4e8d-abf4-b1dfad9c1aec,CE2
7,525,What are the advisors,SELECT student.advisor FROM student,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,zhengning,e05a76bf-d80e-4df3-bcd0-c38c643de429,"AN2, F4"
8,517,Count the number of video games with Massively multiplayer online game type .,SELECT COUNT( * ) FROM video_games WHERE video_games.gtype = 'Massively multiplayer online',"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game""",zhengning,20f4f639-e477-4a58-b9a8-b2f89c80c078,D1
9,1098,How many songs have 4 minute duration?,SELECT COUNT( * ) FROM files WHERE files.duration = '4',"SELECT count(*) FROM files WHERE duration LIKE ""4:%""",zhengning,d8fca387-5659-4276-b5b4-6d9f5a1fae10,D1c
10,2397,Which district has both stores with less than 3000 products and stores with more than 10000 products?,SELECT shop.district FROM shop WHERE shop.number_products > 3000 INTERSECT SELECT shop.district FROM shop WHERE shop.number_products > 10000,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,zhengning,8f4d92ff-5646-407c-a61f-5862bd036b8b,D1c
11,1504,What is the total number of all football games played by scholarship students?,SELECT SUM( sportsinfo.gamesplayed ) FROM sportsinfo WHERE sportsinfo.sportname = 'football' AND sportsinfo.onscholarship = 'y',"SELECT sum(gamesplayed) FROM Sportsinfo WHERE sportname  =  ""Football"" AND onscholarship  =  'Y'",zhengning,c37b81c3-d626-476f-8ddc-00f81f06c187,D1a
12,1047,Find the city and name of bank branches that provide business loans.,"SELECT bank.bname , bank.city FROM bank JOIN loan ON bank.branch_id = loan.branch_id WHERE loan.loan_type = 'business'","SELECT T1.bname ,  T1.city FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T2.loan_type  =  'Business'",zhengning,f012fd26-8690-4ded-9991-0d3132af9bd6,D1a
13,1048,What are the names and cities of bank branches that offer loans for business?,"SELECT bank.bname , bank.city FROM bank JOIN loan ON bank.branch_id = loan.branch_id WHERE loan.loan_type = 'business'","SELECT T1.bname ,  T1.city FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id WHERE T2.loan_type  =  'Business'",zhengning,1ccd8c87-cb62-4853-97e4-f70105b01a45,D1a
14,1737,How many car models are produced by each maker ? Only list the count and the maker full name .,"SELECT COUNT( * ) , car_makers.fullname FROM car_makers JOIN model_list ON car_makers.id = model_list.maker GROUP BY car_makers.maker","select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;",zhengning,9c5314f6-96ad-4fc9-bb23-43e07a7c100c,"CL1, BN1"
15,248,How many times in total did the team Boston Red Stockings participate in postseason games?,SELECT * FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings' UNION SELECT * FROM postseason JOIN team ON postseason.team_id_loser = team.team_id_br WHERE team.name = 'Boston Red Stockings',SELECT count(*) FROM ( SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' UNION SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser  =  T2.team_id_br WHERE T2.name  =  'Boston Red Stockings' );,zhengning,da7bcf37-9d56-4773-9aca-3fe1eb843a65,"L5, CE2"
