,batch3_sql_id,Fleiss_kappa,Krippendroffis_alpha
0,1155,1.0,1.0
1,1752,0.5999999999999996,0.6083333333333334
2,2075,0.4545454545454547,0.4659090909090909
3,1116,1.0,1.0
4,1998,1.0,1.0
5,2353,0.7037037037037036,0.7098765432098765
6,1120,0.7767441860465117,0.7813953488372093
7,88,1.0,1.0
8,2008,0.8632478632478634,0.314253647586981
9,1994,1.0,1.0
10,1741,0.7473684210526315,0.7526315789473684
11,2080,0.4021978021978022,0.4146520146520146
12,1866,1.0,1.0
13,2124,0.5999999999999996,0.6083333333333334
14,2161,0.6190476190476188,0.626984126984127
15,2135,0.5555555555555557,0.5648148148148149
16,556,1.0,1.0
17,1720,1.0,1.0
18,1187,0.0909090909090912,0.1098484848484848
19,763,0.4985754985754985,0.5090218423551758
20,1138,0.7473684210526315,0.7526315789473684
21,2014,0.7090909090909091,0.7151515151515151
22,486,0.1339031339031337,0.1519468186134853
23,1997,0.6190476190476188,0.626984126984127
24,1821,1.0,0.3974358974358976
25,2050,0.0909090909090912,0.1098484848484847
26,1803,0.7460317460317454,0.7513227513227514
27,2408,0.0909090909090912,0.1098484848484848
28,2313,0.4790697674418598,0.4899224806201551
29,1818,1.0,1.0
30,1596,0.4982578397212543,0.5087108013937283
31,1567,0.6809116809116806,0.687559354226021
32,448,0.2605042016806719,0.2759103641456583
33,730,1.0,1.0
34,1869,0.7874762808349144,0.7919038583175206
35,1118,1.0,1.0
36,1152,0.8820638820638822,0.8845208845208845
37,1580,0.5789473684210529,0.5877192982456141
38,1101,1.0,1.0
39,447,0.6809116809116806,0.687559354226021
40,1867,0.7473684210526315,0.7526315789473684
41,1665,0.7473684210526315,0.7526315789473684
42,862,0.8820638820638822,0.8845208845208845
43,2162,1.0,1.0
44,1719,0.6444444444444447,0.6518518518518519
45,1968,-0.0666666666666666,-0.0444444444444445
46,average,0.6924320958643451,0.6737439492061427
