,sql_id,Fleiss_kappa,Krippendroffis_alpha
0,1155,1.0,1.0
1,1752,0.302564102564101,0.3076923076923077
2,2075,0.3770992366412211,0.3816793893129772
3,1116,1.0,1.0
4,1998,0.4848484848484856,0.4886363636363636
5,2353,0.4188034188034168,0.4230769230769231
6,1120,0.7923664122137409,0.7938931297709924
7,88,1.0,1.0
8,2008,0.3025641025641023,0.0440060698027313
9,1994,1.0,1.0
10,1741,0.7923664122137409,0.7938931297709924
11,2080,0.496296296296296,0.5000000000000001
12,1866,1.0,1.0
13,2124,0.7675213675213683,0.7692307692307693
14,2161,0.7923664122137409,0.7938931297709924
15,2135,0.3735757575757586,0.378181818181818
16,556,1.0,1.0
17,1720,1.0,1.0
18,1187,0.141414141414144,0.1477272727272726
19,763,0.3473606496862332,0.3521594684385383
20,1138,0.6512820512820512,0.6538461538461539
21,2014,0.817204301075269,0.8185483870967742
22,486,0.2386768447837134,0.2442748091603054
23,1997,0.1414141414141401,0.1477272727272726
24,1821,1.0,0.4389027431421447
25,2050,-0.0225563909774392,-0.0150375939849622
26,1803,0.1414141414141401,0.1477272727272726
27,2408,-0.0303030303030287,-0.0227272727272727
28,2313,0.5155216284987256,0.5190839694656489
29,1818,1.0,1.0
30,1596,0.3770992366412211,0.3816793893129772
31,1567,0.5155216284987256,0.5190839694656489
32,448,0.2912236814675846,0.2964352720450282
33,730,1.0,1.0
34,1869,0.5637212015164768,0.5669291338582678
35,1118,1.0,1.0
36,1152,0.3802083333333321,0.384765625
37,1580,0.4188034188034168,0.4230769230769231
38,1101,1.0,1.0
39,447,0.4687499999999995,0.47265625
40,1867,0.7923664122137409,0.7938931297709924
41,1665,0.8493909191583617,0.8504983388704319
42,862,0.8493909191583617,0.8504983388704319
43,2162,1.0,1.0
44,1719,0.2046783625730996,0.2105263157894735
45,1968,-0.0149253731343353,-0.007462686567164
46,average,0.5986528091733458,0.5836738154860658
