batch2_sql_id,Krippendroffis_alpha
2028,0.364
1127,0.43466666666666700
1324,0.6558441558441560
1874,0.19696969696969700
760,1.0
1267,0.3026315789473690
1160,0.15873015873015900
1816,0.08225108225108220
1501,1.0
604,1.0
1612,0.1587301587301590
1623,0.5546218487394960
1745,0.38451612903225800
2013,0.38980263157894700
2002,0.08225108225108240
2016,0.41501103752759400
2339,0.7948387096774190
733,1.0
2186,0.493009565857248
2027,0.2154605263157900
1141,0.7705627705627710
1876,0.22211350293542100
2010,0.11096774193548400
1903,0.2477419354838710
46,1.0
2118,0.4769736842105260
2123,0.4769736842105260
1712,0.4903846153846150
1561,0.3026315789473690
2077,-0.02580645161290330
2076,0.1810154525386320
1956,1.0
2059,-0.02580645161290330
1783,0.25770308123249300
597,0.4903846153846150
513,0.2477419354838710
530,1.0
2174,0.1282894736842100
1146,1.0
1153,0.19696969696969700
2349,0.4903846153846150
2170,0.15873015873015900
2296,0.5546218487394960
1739,0.24774193548387100
1624,0.38451612903225800
1963,-0.01273885350318470
Average,0.43598764627662200
