,batch2_sql_id,Fleiss_kappa,Krippendroffis_alpha
0,2028,0.36,0.364
1,1127,0.431111111111111,0.434666666666667
2,1324,0.653679653679653,0.655844155844156
3,1874,0.19191919191919,0.196969696969697
4,760,1.0,1.0
5,1267,0.298245614035087,0.302631578947369
6,1160,0.153439153439154,0.158730158730159
7,1816,0.0764790764790748,0.0822510822510822
8,1501,1.0,1.0
9,604,1.0,1.0
10,1612,0.153439153439151,0.158730158730159
11,1623,0.551820728291316,0.554621848739496
12,1745,0.380645161290323,0.384516129032258
13,2013,0.385964912280703,0.389802631578947
14,2002,0.0764790764790732,0.0822510822510824
15,2016,0.411331861662988,0.415011037527594
16,2339,0.793548387096775,0.794838709677419
17,733,1.0,1.0
18,2186,0.48982094677459,0.493009565857248
19,2027,0.210526315789475,0.21546052631579
20,1141,0.769119769119766,0.770562770562771
21,1876,0.217221135029354,0.222113502935421
22,2010,0.105376344086019,0.110967741935484
23,1903,0.243010752688171,0.247741935483871
24,46,1.0,1.0
25,2118,0.473684210526316,0.476973684210526
26,2123,0.473684210526316,0.476973684210526
27,1712,0.487179487179487,0.490384615384615
28,1561,0.298245614035089,0.302631578947369
29,2077,-0.032258064516129,-0.0258064516129033
30,2076,0.175864606328183,0.181015452538632
31,1956,1.0,1.0
32,2059,-0.032258064516129,-0.0258064516129033
33,1783,0.253034547152193,0.257703081232493
34,597,0.487179487179487,0.490384615384615
35,513,0.243010752688171,0.247741935483871
36,530,1.0,1.0
37,2174,0.12280701754386,0.12828947368421
38,1146,1.0,1.0
39,1153,0.19191919191919,0.196969696969697
40,2349,0.487179487179487,0.490384615384615
41,2170,0.153439153439154,0.158730158730159
42,2296,0.551820728291316,0.554621848739496
43,1739,0.243010752688171,0.247741935483871
44,1624,0.380645161290323,0.384516129032258
45,1963,-0.0191082802547747,-0.0127388535031847
46,Average,0.432440398768928,0.435987646276622
