,unique_nlq
0,Count the total number of games the team Boston Red Stockings attended from 1990 to 2000.
1,What is the average edispl for all volvos?
2,Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?
3,Find the names of songs whose genre is modern or language is English.
4,"What are the names of the artists who released a song that has the word love in its title, and where are the artists from?"
5,What is the number of routes operated by the airline American Airlines whose destinations are in Italy?
6,"List the id, genre and artist name of English songs ordered by rating."
7,Show all product sizes.
8,What is the maximum and minimum resolution of all songs that are approximately 3 minutes long?
9,What are the different names for all songs that have a higher resolution than English songs?
10,How many car makers are there in france?
11,What are the names of patients who are not taking the medication of Procrastin-X.
12,Show all product names without an order.
13,"Who is the president of the club ""Bootup Baltimore""? Give me the first and last name."
14,List the project details of the projects launched by the organisation
15,"How many clubs does the student named ""Eric Tai"" belong to?"
16,What are the last names of individuals who have been contact individuals for an organization?
17,What is the average and maximum capacities for all stadiums ?
18,How many rooms does each block floor have?
19,"For every medicine id, what are the names of the medicines that can interact with more than one enzyme?"
20,How many times did Boston Red Stockings lose in 2009 postseason?
21,What is the maximum capacity and the average of all stadiums ?
22,What are the names and number of works for all artists who have sung at least one song in English?
23,Find the number of distinct amenities.
24,"What is the name and country of origin of the artist who released a song that has ""love"" in its title?"
25,Please list the name and id of all artists that have at least 3 albums in alphabetical order.
26,Which physicians have never taken any appointment? Find their names.
27,Find the package choice and series name of the TV channel that has high definition TV.
28,What are the package options of all tv channels that are not playing any cartoons directed by Ben Jones?
29,What are the names of all cities and states?
30,What are the last names of customers without invoice totals exceeding 20?
31,Find names and times of trains that run through stations for the local authority Chiltern.
32,What is the date of birth for the staff member named Janessa Sawayn?
33,"Return the type name, type description, and date of creation for each document."
34,What is the count of states with college students playing in the mid position but not as goalies?
35,How many tracks belong to rock genre?
36,"What are teh names of the different products, as well as the number of customers who have ordered each product."
37,What are the average rating and resolution of songs that are in Bangla?
38,How much did the the player with first name Len and last name Barker earn between 1985 to 1990 in total?
39,Show budget type codes and the number of documents in each budget type.
40,"How many songs, on average, are sung by a female artist?"
41,How many states that have some college students playing in the mid position but not in the goalie position.
42,What are the names of products that have never been ordered?
43,Find the number of different airports which are the destinations of the American Airlines.
44,"What are the different product names, and what is the sum of quantity ordered for each product?"
45,What are the details for the projects which were launched by the organization with the most projects?
