,unique_nlq
0,"Return the maximum support rate, minimum consider rate, and minimum oppose rate across all candidates?"
1,What are all role codes?
2,What are the countries that have at least two perpetrators?
3,Find the person who has exactly one friend.
4,Find the id and local authority of the station whose maximum precipitation is higher than 50.
5,Show all distinct city where branches with at least 100 memberships are located.
6,What are the distinct unit prices of all tracks?
7,List all country and league names.
8,Show the product ids and the number of unique orders containing each product.
9,How many diffrent dorm amenities are there?
10,"How many students have had at least one ""B"" grade?"
11,What is the average account balance of customers with credit score below 50 for the different account types?
12,Find the parties associated with the delegates from district 1. Who served as governors of the parties?
13,What city and state is the bank with the name morningside in?
14,"What are the type codes of the policies used by the customer ""Dayana Robel""?"
15,Show the enrollment and primary_conference of the oldest college.
16,How many different students are involved in sports?
17,How many games are played for all students?
18,How many staff live in state Georgia?
19,List the names of all distinct products in alphabetical order.
20,"What is the id, genre, and name of the artist for every English song ordered by ascending rating?"
21,What are the positions of players whose average number of points scored by that position is larger than 20?
22,What are the names of courses with 1 credit?
23,What is average salary of the players in the team named 'Boston Red Stockings' ?
24,What are the different types of player positions?
25,What are the names and descriptions of the products that are of 'Cutlery' type and have daily hire cost lower than 20?
26,What are the names and trade names of the medcines that are FDA approved?
27,What is the name of the shipping agent of the document with id 2?
28,What are the names of the songs that are modern or sung in English?
29,Find the id of the song that lasts the longest.
30,What is the shipping agent code of shipping agent UPS?
31,Find the total savings balance of all accounts except the account with name ‘Brown’.
32,What are the distinct address type codes for all customer addresses?
33,What are the different membership levels?
34,What are the first names and support rep ids for employees serving 10 or more customers?
35,What are the names of the different banks that have provided loans?
36,Count the number of different software platforms.
37,Find the name of different colleges involved in the tryout in alphabetical order.
38,"Find the names of all artists that have ""a"" in their names."
39,Count the number of different complaint type codes.
40,List all people names in the order of their date of birth from old to young.
41,How many distinct payment methods are used by parties?
42,Count the number of different payment method codes used by parties.
43,What are the name and level of catalog structure with level number between 5 and 10
44,Count the number of financial transactions that correspond to each account id.
45,What are the total amount and average amount paid in claim headers?
46,"Return the names and ids of each account, as well as the number of transactions."
47,What countries are the female artists who sung in the language Bangla from?
48,Count the number of different account types.
49,Return the total and minimum enrollments across all schools.
50,Find the last name of the individuals that have been contact individuals of an organization.
51,What are the names and account balances for customers who have taken a total amount of more than 5000 in loans?
52,How many different products correspond to each order id?
53,What is the number of aircraft?
54,What are the last names of employees who serve at most 20 customers?
55,"What are the distinct first names, last names, and phone numbers for customers with accounts?"
56,How many medicines are offered by each trade name?
57,What are the names of the heads who are born outside the California state?
58,Find the average height and weight for all males (sex is M).
59,What are the average height and weight across males (sex is M)?
60,What are  the different countries with singers above age 20?
61,Count the number of video games with Massively multiplayer online game type .
62,Return the names of entrepreneurs do no not have the investor Rachel Elnaugh.
63,"How many events have each participants attended? List the participant id, type and the number."
64,What are the all games score and location of the school called Clemson?
65,Show the distinct venues of debates
66,How many budgets are above 3000 in year 2001 or before?
67,"How many customers have email that contains ""gmail.com""?"
68,What is the total money requested by entrepreneurs with height more than 1.85?
69,Who are the lieutenant governor and comptroller from the democratic party?
70,How many distinct order ids correspond to each product?
71,How many documents were shipped by USPS?
72,Which catalog contents have length below 3 or above 5? Find the catalog entry names.
73,"Which catalog publishers have substring ""Murray"" in their names?"
74,How many lessons were in cancelled state?
75,What is the name of the song that was released most recently?
76,List the document ids for any documents with the status code done and the type code paper.
77,Count the number of customers who have an account.
78,List roles that have more than one employee. List the role description and number of employees.
79,Find the name of the product that has the smallest capacity.
80,How many perpetrators are there?
81,Find the number of schools that have more than one donator whose donation amount is less than 8.5.
82,What document type codes do we have?
83,What is the name of the bank branch with the greatest number of customers?
84,How many different colleges are there?
85,What is the number of students playing as a goalie?
86,"For each file format, return the number of artists who released songs in that format."
87,"What are the states, account types, and credit scores for customers who have 0 loans?"
88,What are the maximum and minimum number of silver medals for clubs.
89,"What is the weekly rank for the episode ""A Love of a Lifetime""?"
90,What information do you have on colleges sorted by increasing enrollment numbers?
91,Find the names and publication dates of all catalogs that have catalog level number greater than 5.
92,What are the ids and details of events that have more than one participants?
93,How many patents outcomes were listed for all the projects?
94,Show the names of people who have been on the negative side of debates at least twice.
95,What are the names of all male British artists?
96,How many females does this network has?
97,How many acting statuses are there?
98,"What are the ids, names, dates of opening, and other details for accounts corresponding to the customer with the first name ""Meaghan""?"
99,"Of all players with an overall rating greater than 80, how many are right-footed and left-footed?"
100,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
101,List the names of entrepreneurs and their companies in descending order of money requested?
102,What are the different first names for customers from Brazil who have also had an invoice?
103,Find the name of the candidates whose oppose percentage is the lowest for each sex.
104,"For each party, return the name of the party and the number of delegates from that party."
105,Find the names of the candidates whose support percentage is lower than their oppose rate.
106,What is the mail date of the document with id 7?
107,"In 1980, how many cars were made?"
108,How many schools have some students playing in goalie and mid positions.
109,How many different services are provided by all stations?
110,"Find the number of students that have at least one grade ""B""."
111,What is the average miles per gallon of all the cards with 4 cylinders?
112,"What is the average, minimum, maximum, and total transaction amount?"
113,What are the different product sizes?
114,Show the names of people and the number of times they have been on the affirmative side of debates.
115,"Find the names of all the tracks that contain the word ""you""."
116,What are the payment date of the payment with amount paid higher than 300 or with payment type is 'Check'
117,Find the names of the products with length smaller than 3 or height greater than 5.
118,Find the number of medications prescribed for each brand.
119,List the name and country of origin for all singers who have produced songs with rating above 9.
120,"Find the title of all the albums of the artist ""AC/DC""."
121,How many universities have a location that contains NY?
122,How many students play video games?
123,How many different types of sports do we offer?
124,Count the number of distinct claim outcome codes.
125,In how many different states are banks located?
126,Please show the employee first names and ids of employees who serve at least 10 customers.
127,List the description of the outcomes for all projects.
128,How many students received a yes from tryouts?
129,What are the ids for all sporty students who are on scholarship?
130,How many different roles are there on the project staff?
131,How many distinct claim outcome codes are there?
132,Find the address of all customers that live in Germany and have invoice.
133,What are all locations of train stations?
134,Show total points of all players.
135,Show the names of counties that have at least two delegates.
136,In how many cities are there airports in the country of Greenland?
137,What are the names of entrepreneurs?
