,record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,duration,cur_id,batch_id,GT_sql
0,a86a3e76-6b36-4a20-87f2-7a89030a75b5,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,1402,SELECT Student.LName FROM Student,What are the last names for all scholarship students?,,,"F4, CE2",17.3370001316071,0,5,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y'
1,8f230d82-e7d9-45a5-9d67-407a5f01debd,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,1191,"SELECT PersonFriend.name FROM Person JOIN PersonFriend ON Person.name = PersonFriend.friend WHERE PersonFriend.name = ""Bob""",Find the name of persons who are friends with Bob.,,,BE5,24.4989998340607,1,5,SELECT T1.name FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T2.friend  =  'Bob'
2,70000d84-bcee-4afe-b8f4-687636e768f3,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,283,"SELECT Club.ClubLocation FROM Club WHERE Club.ClubName = ""Tennis club""","What is the location of the club named ""Tennis Club""?",,,D1a,12.7339999675751,2,5,"SELECT clublocation FROM club WHERE clubname  =  ""Tennis Club"""
3,10787849-3ca2-408f-92e0-e11f1f9a8707,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,1168,"SELECT Project_Staff.role_code FROM Project_Staff WHERE Project_Staff.date_from > ""2003-04 03-15 00 : 33 : 18"" AND Project_Staff.role_code = ""2016-04 03-15 00 : 33 : 18""",What roles did staff members play between '2003-04-19 15:06:20' and '2016-03-15 00:33:18'?,,,"F1, D1",5049.92200016975,3,5,SELECT role_code FROM Project_Staff WHERE date_from  >  '2003-04-19 15:06:20' AND date_to  <  '2016-03-15 00:33:18'
4,114a06c5-64b3-40ee-a584-d209eaeeab29,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,583,SELECT AVG(cars_data.Horsepower) FROM cars_data WHERE cars_data.Cylinders = 4,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,,,BL1,22.3639998435974,4,5,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;
5,32d9c8f0-8650-48a5-9fa0-52ff813bb62d,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,1281,"SELECT Player.pName, Tryout.cName FROM Player JOIN Tryout ON Player.pID = Tryout.pID JOIN College ON Tryout.pID = College.cName WHERE Player.yCard = ""yes""","What are the names of all the players who received a yes during tryouts, and also what are the names of their colleges?",,,E1,26.8139998912811,5,5,"SELECT T1.pName ,  T2.cName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'"
6,1e338347-c47d-49cc-bcc2-dead64bfb374,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,669,"SELECT Track.Name FROM Track WHERE Track.Name LIKE ""% you %""",What are the names of tracks that contain the the word you in them?,,,D1,23.6349999904633,6,5,SELECT Name FROM TRACK WHERE Name LIKE '%you%'
7,02b6fed7-b951-468f-b1dc-6c44943e0b39,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,107,"SELECT COUNT(*), endowment.School_id FROM endowment WHERE endowment.amount > 8.5 GROUP BY endowment.School_id HAVING COUNT(*) > 1",Find the number of schools that have more than one donator whose donation amount is less than 8.5.,,,BL2,22.1500000953674,7,5,SELECT count(*) FROM (SELECT * FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1)
8,22614383-6de6-45a0-9dda-3ffa95f225f6,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,1022,"SELECT club.name, player.name FROM club JOIN player ON club.Club_ID = player.Club_ID",Please show the names and the players of clubs.,,,BL2,11.1589999198914,8,5,"SELECT T1.name ,  T2.Player_id FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID"
9,176248ea-660f-4552-bee2-b5c053931b73,cae3a1eb-ba06-4700-8fd0-1e85806935d2,zhengning,1065,"SELECT song.song_name, song.genre_is, artist.artist_name FROM artist JOIN song ON artist.artist_name = song.f_id WHERE song.languages = ""English"" ORDER BY song.rating","What is the id, genre, and name of the artist for every English song ordered by ascending rating?",,,"CM6, D1a",36.9230000972748,9,5,"SELECT f_id ,  genre_is ,  artist_name FROM song WHERE languages  =   ""english"" ORDER BY rating"
