,record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,duration,cur_id,batch_id,GT_sql
0,9460d94e-31aa-417e-9d4a-fbb001402c1b,ec37de51-6d33-4eef-a815-24181fc1ba26,tianyi,2028,SELECT DISTINCT artist.artist_name FROM artist JOIN song ON artist.artist_name = song.artist_name WHERE artist.country = 'Bangladesh' AND song.rating > 7,What are the names of the different artists from Bangladesh who never received a rating higher than a 7?,WHERE artist.country = 'Bangladesh' AND song.rating > 7,,"A1d, F1",1286.44599986076,1,2,"SELECT DISTINCT artist_name FROM artist WHERE country  =  ""Bangladesh"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating  >  7"
1,ed0f7dc7-2e60-49f7-89c8-6ae56d635beb,ec37de51-6d33-4eef-a815-24181fc1ba26,tianyi,1127,"SELECT hall_of_fame.ballots , COUNT( * ) FROM hall_of_fame GROUP BY hall_of_fame.ballots",Count the number of players who enter hall of fame for each year.,"hall_of_fame.ballots , COUNT( * ), hall_of_fame.ballots",,"BN1, BL1",123.712000131607,2,2,"SELECT yearid ,  count(*) FROM hall_of_fame GROUP BY yearid;"
2,14205e0c-cbad-438c-a489-683c2ffea94c,ec37de51-6d33-4eef-a815-24181fc1ba26,tianyi,1324,SELECT faculty.room FROM faculty WHERE faculty.rank = 'professor' AND faculty.building = 'NEB',Find the rooms of faculties with rank professor who live in building NEB.,WHERE faculty.rank = 'professor' AND faculty.building = 'NEB',,D1a,101.458000183105,3,2,"SELECT Room FROM FACULTY WHERE Rank  =  ""Professor"" AND Building  =  ""NEB"""
3,f37d08ae-7061-4ff7-bafd-d404cfba1d57,ec37de51-6d33-4eef-a815-24181fc1ba26,tianyi,1874,"SELECT checking.balance , savings.balance FROM accounts JOIN checking ON accounts.custid = checking.custid WHERE accounts.name = 'Brown’s'",Find the checking balance and saving balance in the Brown’s account.,WHERE accounts.name = 'Brown’s',,"D1, D1c, CE2",208.319000005722,4,2,"SELECT T2.balance ,  T3.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid WHERE T1.name  =  'Brown'"
4,6d135c8d-5223-42f4-b353-c7ce860ccd03,ec37de51-6d33-4eef-a815-24181fc1ba26,tianyi,760,"SELECT medicine.name , medicine.trade_name FROM medicine WHERE medicine.fda_approved = 'yes'",What are the names and trade names of the medicines which has 'Yes' value in the FDA record?,WHERE medicine.fda_approved = 'yes',,D1a,64.1159999370575,5,2,"SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'"
5,cc404903-61ed-48b7-8e93-d67e50f6ec25,ec37de51-6d33-4eef-a815-24181fc1ba26,tianyi,1267,SELECT project_staff.role_code FROM project_staff WHERE project_staff.staff_id = 1 AND project_staff.date_from = 1 AND project_staff.date_to = 1 AND project_staff.date_from = 1 AND project_staff.date_to = 1,What are the staff roles of the staff who,,"Incomplete NL! If based on the GTQ, the HQ has an incorrect condition.",F3,341.634999990463,6,2,SELECT role_code FROM Project_Staff WHERE date_from  >  '2003-04-19 15:06:20' AND date_to  <  '2016-03-15 00:33:18'
6,3f33adb5-8698-40ea-ad66-a839f1f895bc,ec37de51-6d33-4eef-a815-24181fc1ba26,tianyi,1160,"SELECT mountain.id , mountain.name FROM mountain JOIN photos ON mountain.id = photos.mountain_id WHERE mountain.height > 'mountains'",What are the id and name of the photos for mountains?,,"In complete NLQ. If based on GTQ, the HQ has an incorrect condition. ",F3,38.1849999427795,7,2,"SELECT T1.id ,  T1.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id  =  T2.mountain_id WHERE T1.height  >  4000"
7,68f7606e-63a1-4609-98c0-2f43268395ef,90c68876-98fd-423d-96bd-b590dcc5725e,tianyi,1160,"SELECT mountain.id , mountain.name FROM mountain JOIN photos ON mountain.id = photos.mountain_id WHERE mountain.height > 'mountains'",What are the id and name of the photos for mountains?,WHERE mountain.height > 'mountains',Incorrect condition.,"G1, F3",185.90099978447,7,2,"SELECT T1.id ,  T1.name FROM mountain AS T1 JOIN photos AS T2 ON T1.id  =  T2.mountain_id WHERE T1.height  >  4000"
8,68e9869d-0552-42ee-bfcb-cc220e1b762c,90c68876-98fd-423d-96bd-b590dcc5725e,tianyi,1816,"SELECT album.title , album.albumid FROM album JOIN track ON album.albumid = track.albumid WHERE track.unitprice > 1",What are the titles and ids for albums containing tracks with unit price greater than 1?,,Miss GROUP BY.,,199.359999895096,8,2,"SELECT T1.Title ,  T2.AlbumID FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId WHERE T2.UnitPrice  >  1 GROUP BY T2.AlbumID"
9,ccf1c895-fc05-4b3f-b5fb-a3c43db21641,90c68876-98fd-423d-96bd-b590dcc5725e,tianyi,1501,SELECT student.lname FROM sportsinfo JOIN student ON sportsinfo.stuid = student.stuid WHERE sportsinfo.onscholarship = 'y',Show last names for all student who are on scholarship.,WHERE sportsinfo.onscholarship = 'y',,D1a,53.311999797821,9,2,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y'
