,sql_id,username_x,record_id_x,error_classification_x,open_ended_feedback_x,username_y,record_id_y,error_classification_y,open_ended_feedback_y
0,746,zhengning,07ab4bd0-97d3-4501-9c05-18e5b748dd8b,"BL3, F3, AN2",,tianyi,87af439b-5c0e-4c19-b43b-85236b5527c8,"BL1, AN2, F3",0
1,1088,zhengning,42be4176-bd2e-414f-a5f4-b5e30f8a625d,CE2,,tianyi,a4439070-3ebc-43b0-8b53-20ed64815d07,BE5,
2,1317,zhengning,5e30cf49-06cc-4f91-9438-5dced424796b,"BL1, E1",,tianyi,6146f94e-813a-4b12-b285-c822a5ba69e6,"E1, BF4, BL1",
3,548,zhengning,26a5b6b3-bad2-4c08-9ee7-6bc88cf3cfdb,D1a,,tianyi,62837edf-ee17-4da2-9a2f-729411b20da3,D1a,
4,159,zhengning,75e7907e-a22e-4fdc-96da-99ce0dbc0670,K2,,tianyi,0df3665d-7a1e-4988-9cf5-d55189813d1a,K2,
5,375,zhengning,322988c2-c0ad-4bac-a800-1ae3efaf8835,"BL1, CM6, F4",,tianyi,e8aa7120-48c7-444e-9a15-6faf7d7acb83,"F4, CM6, L5, I2",
6,1064,zhengning,f2eab911-7f3b-48aa-9235-1b850c68526d,"BL1, D1a, CE2",,tianyi,f35cf103-d34f-4251-8999-0ac2c8a17e37,D1a,
7,1217,zhengning,fe87e350-f185-43a3-9abb-7392e65d0295,F4,,tianyi,5a960272-50b4-4b6b-af96-d9a76f22c519,F4,
8,930,zhengning,e6f4216c-0222-480c-a356-1c63c68fc028,D1a,,tianyi,9f74e7a9-f7dd-4144-84c9-3dab5bbf7bf5,D1a,
9,1220,zhengning,430eb6d9-14e8-40ad-9004-bfbf5a72c792,A1b,,tianyi,c4a1fb1f-371e-499b-aae8-e7687c91d2b0,"A1b, P3",
10,745,zhengning,16595cc5-0701-4b5c-828e-22731cd2fab5,"BL3, AN2, F3",,tianyi,e7ec2d2b-e4e7-43c5-a54b-c1c867fc21ed,"BL3, F3, AN2",
11,612,zhengning,f484996b-e53e-46f7-a926-4a6b6772aea9,BL1,,tianyi,656fc60c-9251-4778-9834-8a7b0956d033,A1b,
12,712,zhengning,e6467c3f-c516-4aa8-84ec-a950a0169190,D1,,tianyi,0fea2522-d807-4d87-82f4-ffe5f9d81642,P3,
13,831,zhengning,95160eb4-4687-4034-ac78-ac388f6f86b8,AN2,,tianyi,998788f6-2802-4dd7-a903-7f4aec806503,"AN2, A1f, F3",
14,1377,zhengning,291354f0-7b41-4491-a4f2-8c340f0dc5d1,L5,,tianyi,3f0bb823-633b-441f-bbf1-17c9cf1aa217,L5,
15,1247,zhengning,8321642d-5497-4959-9d3d-b324c3f16c32,"BL1, D1",,tianyi,069695bc-ab31-40f3-95e7-be83d0acd9e2,"BL1, D1",
16,707,zhengning,7ed3198e-22f2-445e-9b3d-02501ed6e822,"BL3, D1",,tianyi,1a1cdced-e208-4a96-ac7f-a69a066be587,"D1, BL3, BN1",
17,562,zhengning,c6a40bde-0d23-4a48-823c-a8aa4da9cbe2,BL1,,tianyi,aed312a3-23ed-4b63-9948-aca7d3407b39,BL1,
18,982,zhengning,4742e663-8821-4dfe-90f7-042c01ce064a,BN1,,tianyi,50362bf4-5a54-424f-ac7f-f76416956916,BN1,
19,853,zhengning,ec29ce89-d3a8-4b45-9cb6-8ec41151e758,D1,,tianyi,e141f220-6aed-4f73-ba9d-83325a923428,D1,
20,836,zhengning,486b6d37-ce21-42c3-9028-018665052581,BL1,,tianyi,62499924-f0bc-411d-a896-c39e841a048e,BL1,
21,697,zhengning,0d6e2b94-874b-4234-9bcc-0969694e2abd,CM6,,tianyi,b59589a4-4bbe-46a8-b346-ae5d29db4a06,"CL1, BN1",
22,1389,zhengning,49d4f587-4f76-45de-9816-2cc53197f190,D1,,tianyi,5c04c22b-6c18-40bc-8261-84954d4d4ed8,D1c,
23,663,zhengning,316e3a57-a7d0-46b5-811b-007356e0595f,D1,,tianyi,d7029afd-5d31-40c4-aa73-2e192884bb77,D1c,
24,786,zhengning,53498148-585b-4b19-91ef-8550482b6616,N3,Miss group by,tianyi,80af51db-619e-487a-9762-a07de048537e,N3,
25,528,zhengning,b10ae15d-fd37-4dd3-ac8a-c37127e1e40a,"A1b, E1",,tianyi,99d7748a-bdf2-46e6-803a-71aed5655a1e,"A1b, CE2",
26,425,zhengning,265a3fed-e7a8-40d1-8446-5fc021b4fb99,"AN2, E1",,tianyi,b7438673-73c6-4bba-a114-4f2516a87d37,AN2,
27,769,zhengning,9765eec3-6851-47f9-a924-16669076ab55,BL3,,tianyi,e160f85e-eceb-458a-9d39-8b4989a1645d,BL3,0
28,1092,zhengning,09d5f379-afbf-445e-9dbd-d25450657bd6,D1,,tianyi,dded1510-71f9-4fcc-a56c-719ac3f7a5c7,D1c,
29,704,zhengning,c173fba3-5d0d-443e-a0c9-512e8812c5a2,D1a,,tianyi,5ddec475-43b9-475b-b755-1b639f39c5b2,D1a,
30,457,zhengning,21caf92b-dc07-4d73-8708-52196e45e9f4,F4,,tianyi,2fdfe8fe-09a7-4fb0-8958-c9deb1f96cbd,F4,
31,646,zhengning,c9282760-65a4-4a6a-9e38-e36e001b7e5b,"K2, BL1",,tianyi,46ae0c03-65f9-48ea-bd58-efbb5820935c,BL1,
32,1269,zhengning,f2657e48-c561-4072-8536-f340943c97c8,KA1b,,tianyi,d5c22523-e9dc-49c7-ab73-03b0d1e06832,KA1b,
33,1093,zhengning,70aa4b0b-6964-404e-9069-61997d65f467,BF4,,tianyi,65c9273b-a596-472c-8b6b-17d72835f9fb,BF4,
34,211,zhengning,20c10ffa-4c6a-4cb5-8763-3bf9bca33c0f,L4,,tianyi,f6e63e2e-146f-4b99-bf8a-5297c839ffe0,L4,
35,694,zhengning,e80b8c0c-cdf8-43c5-95fd-97785ed3ee9d,CL1,,tianyi,ab85d5ec-7b97-487f-9dc9-0e601887f46d,BN1,
36,238,zhengning,b0f5f809-ad5c-43db-b140-10f3a767f8b6,D1a,,tianyi,665205ff-5c83-4c63-8697-eeeee5a695c4,D1a,
37,820,zhengning,da8962e1-eb3f-4d85-9a61-64f9178212c1,BN1,,tianyi,164bdf3d-9332-4735-b7a4-89adafb034a8,BN1,
38,475,zhengning,97378cba-7e5d-4560-897e-a15311ffbb72,F4,,tianyi,0205902b-726b-4049-8e1a-dafb5e8ef355,F4,
39,1045,zhengning,561c33ff-88c2-4123-9353-91e6cfb6f9ec,"D1, L4",,tianyi,8f9f33d4-5c05-48aa-999a-0248fc72d6b5,"BL1, L4, D1",
40,868,zhengning,d72d767c-eb92-4085-84b3-e3f62e6b8f65,D1a,,tianyi,9886c8ed-bd81-47c8-9db4-a7b7b993770a,D1a,
41,1325,zhengning,2c355775-f32e-4d9d-87cb-cded12ea4b82,E1,,tianyi,7e8731fa-5968-4510-9a2b-895b742ce7b6,"BE5, E1",
42,1291,zhengning,cc188654-0432-414e-9193-44feb45d19a1,"F4, CE2",,tianyi,d4126443-9c7c-400d-b9dc-da420e37fff1,I2,
43,1356,zhengning,0c1e3bcb-b23c-485b-a303-c4b9089e51eb,D1,,tianyi,f32d76e5-ec04-4cac-8bb1-404586a8f3ce,D1,
44,1214,zhengning,8f2be624-d62c-47e5-a2c9-221f152d3325,D1a,,tianyi,3a36366b-a5ea-438b-b9ef-f43f0edcc41e,D1a,
45,584,zhengning,edd56524-f3f3-47cc-9939-14aa08ec828c,BL1,,tianyi,6f298f3e-8d7b-4f83-9db2-e13a52fb9d01,BL1,
46,1170,zhengning,bd6f7a7b-731e-41c6-b8c6-415df47a80f2,"BL1, BE5",,tianyi,9131b71f-b4d4-4e7a-b87d-cbb0502d9da9,"BF4, BE5",
47,978,zhengning,01d89b78-e68f-4727-bb59-a6dac746dc52,BF4,,tianyi,bc5cdaad-3d6e-4e0a-9930-dfa457e7bc29,BF4,
48,1251,zhengning,905f60b5-ff3d-4935-9f60-4d0e973b076f,"F1, KA1b",,tianyi,4fa4d4bc-6a9b-4478-8b30-c5a7232616a0,"F1, KA1b",0
49,471,zhengning,59a3956b-9648-4227-a37f-db20934cf6d9,CM6,,tianyi,0b671821-25ae-475c-b88a-4211f5fdc80b,"CM6, BL1",
50,380,zhengning,7e327bc6-a8f1-47a7-807f-1b942325aa4f,D1c,,tianyi,0a2a36c9-c03d-4a13-9f19-d8f8ee40a08a,D1c,
51,1250,zhengning,08d275b6-a5a1-40c2-aebb-9952840931bc,BK1,Wrong column in order by,tianyi,417d8eac-1217-4e4a-bbb0-b385af34582d,BK1,ORDER BY wrong column
52,883,zhengning,6920d3a6-fb28-4ee6-8781-86d120872746,A1a,,tianyi,aa3907d1-83bd-42d7-a8f1-8e9137674f99,F1,
53,1326,zhengning,1c448df8-bc7e-466a-b02a-c3b7cfb0359f,BE5,,tianyi,a6def0b2-7cdc-453e-bde0-9996a479f6a0,BE5,
54,1016,zhengning,036eb69a-d84d-4400-99b7-2ca581d764b2,"BE5, K4",Redundant order by,tianyi,18931a5d-ef0a-4af0-b89e-e271ed13a815,"AN2, F4",1
55,1169,zhengning,cbdccad4-7248-47b1-8bf6-208a6287e851,"CF5, BE5, BL1",,tianyi,f46bbe70-6ee5-4703-91b3-8f416c8d691c,BE5,0
56,1392,zhengning,ad4f758d-bded-4060-a652-150556d3f164,D1,,tianyi,05e25724-09c1-45f8-9b78-9ecd23b5403d,D1c,
57,134,zhengning,864c45d2-def3-4125-90f0-f0d7763b44c9,"A2a, L5",,tianyi,856cc761-5921-4897-81ea-9f8b346f71c5,L5,
58,360,zhengning,de496700-1ef5-46b1-bfd8-209b575a3fee,L4,,tianyi,94090586-8c89-4db9-9a18-50ad5ed631c6,BL1,
59,1043,zhengning,09a302ac-325a-43d9-8c77-201edeb4eb64,"CM6, CF5",,tianyi,6928cdcc-dd94-496e-a74f-1b413f13599b,"CM6, D1",
60,1058,zhengning,9c53d74c-73b5-4607-8a54-9fcdf78a5352,"F4, D1",,tianyi,ea2858d2-25e8-48a5-8ec4-5e8c5969efd7,F4,
61,652,zhengning,e89f63ce-3c3e-4c72-9231-6c22e0b5ff89,"CL1, BF4",,tianyi,dc68f6a4-c643-4156-bb6a-745d96451fc7,BL1,
62,847,zhengning,d8e739ee-b821-4592-b010-1c49ee228bba,"CM6, BL2, F4, CE2",,tianyi,1326f294-2d67-4310-9a31-e22a61e5346b,I2,
63,1067,zhengning,b2a95f6d-f31a-4aee-8aec-1cfe91fd266d,"CM6, CF5, CE2",,tianyi,876da4a2-1e02-4ba8-802b-8ec6fbad61ff,"BL1, CM4, BF4",
64,994,zhengning,c81ecca6-f9c4-4cd3-9c80-e2629c72fd03,BE5,,tianyi,8997e910-2205-4377-9d8b-dfb39e9be0fd,BE5,
65,998,zhengning,c9634de3-839a-4b6d-b629-2a7d101c1b6d,BL3,,tianyi,10cf4849-0480-41f5-af6d-406b2c33dfda,BL3,
66,709,zhengning,571c8d2f-7879-4b5c-92ba-97c5f9c86f48,"BL1, BN1",,tianyi,88f35f96-5369-4e65-84d1-3a3c2cbd4f45,BN1,
67,692,zhengning,e0f17d45-6454-4058-a633-a261673f10ce,"CM6, D1c",,tianyi,3c6ce561-6603-4abd-a79e-a460e219667e,D1c,
68,1239,zhengning,e304964e-414e-49be-8f20-9663400bcaba,"CL1, CE2, BE5",,tianyi,1b6fb9f8-ce53-4b2d-8218-b4e776a0deb3,"BL2, CE2",
69,1242,zhengning,2f234ac2-caf4-4810-bce1-d43f2b4c3215,CF5,,tianyi,cbf5a869-e7b5-43a0-bb23-0600f8e3f362,"CF5, BF4",
70,917,zhengning,6ee8c24d-1cad-4e2d-beba-fe89150da488,F3,,tianyi,6744e25a-5234-484f-ac57-e8b0ac652253,BF4,
71,1225,zhengning,c40dfd5d-74de-4ebc-9f72-a6e8b38428d1,"D1, A2a, E1",,tianyi,cdf40433-b380-4dc5-970f-419e495d241e,"A2a, E1, D1",0
72,1146,zhengning,57edf107-1a91-4678-94f8-6c587f577dd9,BL1,,tianyi,3cb39257-19ed-4b19-a2ce-5c5345875f39,D1,
73,392,zhengning,33ca788c-f74e-4fd8-a7d6-49c1b95d5cad,A1d,,tianyi,130aeae5-e1e0-4c0e-ab51-cdc70b21529d,CE2,
74,1096,zhengning,c4a04c67-574f-4dc5-9554-909eca96ecb8,"CL1, D1, E1",,tianyi,e54b3d93-184f-4c14-bdff-2bbd71f00373,"D1a, E1",
75,547,zhengning,c7091c6f-1bea-4362-9414-e3aeffa752d6,D1a,,tianyi,4ed65994-aa2c-48d1-83b0-b9ee9ba7ec2b,D1a,
76,771,zhengning,5250d6e2-18bc-4e9b-bb1c-31e09f1f2eec,BL3,,tianyi,c4244552-2a93-46af-96c9-5787a46d73d2,BL3,
77,806,zhengning,cc7a0a37-ed81-4705-8fa3-2d094387e57d,CF5,,tianyi,a38c4b2e-227c-4d8c-9632-3dcb2d09f7c5,BN1,
78,593,zhengning,298a1d85-a363-4be5-931a-933ee7fcd72e,"A1b, D1",,tianyi,faee17e4-335a-42e3-88c4-6d5a93bdc9b2,"A1b, F1",
79,208,zhengning,d81aa624-4a7d-401a-8ced-06e42c2f84f4,BL1,,tianyi,02f8a314-aeec-4b87-a895-69bdfd261eab,BL1,
80,350,zhengning,fa138526-4031-4602-909b-7b8328370210,"BL1, E1",,tianyi,5c39822b-0ce9-4827-b43c-6c813e86cf18,E1,
81,874,zhengning,92c12341-bcaf-441b-8217-07f996e119fc,BL1,,tianyi,686d8801-5fe5-4007-942e-8d1eb242d172,BL1,
82,630,zhengning,4b4175a8-ab4a-4be2-aa96-5de96fb27d9d,"CM6, D1a",,tianyi,9c4f703a-8840-4bd5-8a86-b73087796ea4,"L4, BE5, D1a",
83,968,zhengning,bee3fa51-438a-4d4e-82aa-84adaefdd67e,D1,,tianyi,5622ed98-1e7b-49c6-bbca-8db820865aec,D1c,
84,1273,zhengning,31648555-3150-47c9-9624-5adb48f2b65d,"CE2, BL1",,tianyi,ffbf9701-d058-43a5-8ebb-91b69eb58418,"BL1, E1",
85,1071,zhengning,6126134e-eba0-4d3c-89bd-f7e0d1e19099,D1a,,tianyi,42729796-4242-4221-93f4-c95b8335ab62,D1a,
86,75,zhengning,fa26217a-7d3c-4fc0-9de1-181e91890599,D1a,,tianyi,1ba806a3-9b29-4625-9ece-8852027c3d85,BL1,
87,892,zhengning,1291794a-a613-4f5a-883a-c29e83cb5dfa,K2,,tianyi,dba791b3-9fbb-41b0-bcc5-66012a5d0140,K2,
88,504,zhengning,e15de48a-7858-4765-a02d-b6ea13f3f02d,F1,,tianyi,c4743723-b3f9-4f4b-9b66-23b07ee67621,F1,
89,45,zhengning,a27b5d23-d88d-48c3-9978-eb8500daaf22,D1a,,tianyi,14e590e9-5583-452e-836c-6268118bed05,D1a,
90,1083,zhengning,4958deb4-f854-425a-b705-f2885e533664,"CE3, BN1",,tianyi,6da8efcf-856a-4f9a-9e14-1e52590d0f49,"BE5, BN1",
91,662,zhengning,1433dee9-30c1-4112-8977-bb3b1049b9b9,D1,,tianyi,aaffc7eb-94b6-4503-b242-2edbac5c83d8,D1c,
92,651,zhengning,c76844ad-36ea-4d93-8e71-d72a4bf92ac6,"CL1, BE5",,tianyi,0eba04a4-fbb4-4451-b9f3-dddad1813936,"BL1, CL1, BE5",
93,46,zhengning,52c89aa9-aad0-4015-a36c-9af0a2687783,"A1a, D1a",,tianyi,6ba77df3-3c07-440b-9df3-024551e47db9,"D1a, F1",
94,567,zhengning,238ebc33-4c2e-4132-8d30-e67ef3a84585,BL1,,tianyi,86aa14a1-318b-4338-9f49-dfb299722345,BL1,
95,660,zhengning,7786351f-f3fe-4bb6-b2c9-a0de707a7ecc,D1,,tianyi,f5bc58af-dd51-4d2f-bfcf-9319bfd8f176,D1c,
96,1232,zhengning,c042edeb-bef6-462c-9f11-43e548b34767,D1,,tianyi,e6115351-6189-4396-9b21-f71c32f48671,D1,
97,672,zhengning,1bb18190-f64b-48a4-a00d-929f93ecee35,"BL1, BN1",,tianyi,bc3c9d81-b08e-486a-8df0-6861eb7ccd3c,BL2,
98,71,zhengning,da90f27b-fd84-4cf8-8790-b24b30c36e67,BL1,,tianyi,b76cb514-6af0-4a22-b1cf-fd35d6227ccd,BL2,
99,374,zhengning,c10e2650-24ae-430f-bb9b-2bc221945f18,L5,,tianyi,89f4fadf-314a-4088-a621-ae6aeee9ce41,"A2a, L5",
100,842,zhengning,825779ec-5dbc-44ec-9ca0-5d9a770073fd,BL1,,tianyi,ac6fb8a3-8c30-4cc9-9a79-a34b1a7bc8fc,BL2,
101,472,zhengning,331a8d40-cf3f-4041-8e4a-6f03fc4be7c8,CM6,,tianyi,3f8d43c0-9cad-4db1-8f6f-f29433f2d1e6,CM6,
102,387,zhengning,44fe67a4-30c1-491e-9cc5-c964396a3bd8,A1b,,tianyi,d2bd7971-0e4f-42a1-b6ed-29b61b87caa4,A1b,
103,735,zhengning,a3a201ad-6cfb-4c5b-8792-52df7d5d0920,D1,,tianyi,9982c990-564a-4ebd-9a4b-8abbabd6eaaf,D1c,
104,192,zhengning,6502b547-ec5e-4caa-971e-73060d59c3ae,"D1c, L4",,tianyi,9abb54ad-738b-467c-842f-4c9675129021,D1c,
