,sql_id,category_Fleiss_kappa,category_Krippendroffis_alpha,type_Fleiss_kappa,type_Krippendroffis_alpha
0,1404,1.0,1.0,1.0,1.0
1,1407,1.0,1.0,1.0,1.0
2,1408,1.0,1.0,0.6462585034013607,0.6496598639455782
3,1412,1.0,1.0,1.0,1.0
4,1413,0.5693779904306221,0.5837320574162679,0.3361702127659575,0.3425531914893617
5,1416,1.0,1.0,1.0,1.0
6,1425,1.0,1.0,-0.0196078431372527,-0.0098039215686274
7,1427,1.0,1.0,1.0,1.0
8,1429,1.0,1.0,-0.0196078431372527,-0.0098039215686274
9,1430,1.0,1.0,1.0,1.0
10,1431,1.0,1.0,1.0,1.0
11,1432,1.0,1.0,1.0,1.0
12,1435,1.0,1.0,1.0,1.0
13,1437,1.0,1.0,0.6567656765676557,1.0
14,1439,1.0,1.0,0.4800000000000006,0.485
15,1454,1.0,1.0,1.0,1.0
16,1463,1.0,1.0,1.0,1.0
17,1466,1.0,1.0,1.0,1.0
18,1478,0.8136645962732919,0.8198757763975155,-0.0399999999999986,-0.03
19,1479,1.0,1.0,1.0,1.0
20,1482,1.0,1.0,1.0,1.0
21,1483,1.0,1.0,1.0,1.0
22,1484,1.0,1.0,0.4800000000000006,0.485
23,1485,1.0,1.0,-0.0196078431372527,-0.0098039215686274
24,1486,1.0,1.0,0.7362637362637362,0.738799661876585
25,1490,0.5833333333333333,0.5972222222222222,-0.029702970297031,-0.0198019801980198
26,1493,1.0,1.0,-0.0196078431372527,-0.0098039215686274
27,1504,0.8412698412698413,0.8465608465608465,0.2925170068027213,0.2993197278911564
28,1511,0.76,0.768,-0.0196078431372527,-0.0098039215686274
29,1512,1.0,1.0,1.0,1.0
30,1517,1.0,1.0,1.0,1.0
31,1518,1.0,1.0,1.0,1.0
32,1523,1.0,1.0,1.0,1.0
33,1524,1.0,1.0,1.0,1.0
34,1526,1.0,1.0,1.0,1.0
35,1542,1.0,1.0,1.0,1.0
36,1547,0.8642533936651584,0.8687782805429864,0.7787234042553194,0.7808510638297872
37,1548,0.8642533936651584,0.8687782805429864,0.7787234042553194,0.7808510638297872
38,1551,1.0,1.0,0.4800000000000006,0.485
39,1552,0.76,0.768,0.6567656765676557,0.6600660066006601
40,1555,1.0,1.0,0.4800000000000006,0.485
41,1556,1.0,1.0,1.0,1.0
42,1557,1.0,1.0,1.0,1.0
43,1558,1.0,1.0,1.0,1.0
44,1560,1.0,1.0,0.7291666666666665,0.7317708333333333
45,1565,1.0,1.0,0.6462585034013607,0.6496598639455782
46,1566,1.0,1.0,0.7291666666666665,0.7317708333333333
47,1568,0.8412698412698413,0.8465608465608465,0.3696969696969704,0.3757575757575757
48,1571,1.0,1.0,1.0,1.0
49,1572,1.0,1.0,1.0,1.0
50,1573,0.4409937888198758,0.4596273291925465,0.4800000000000006,0.485
51,1574,0.5833333333333333,0.5972222222222222,0.6567656765676557,0.6600660066006601
52,1578,1.0,1.0,1.0,1.0
53,1583,1.0,1.0,1.0,1.0
54,1584,1.0,1.0,1.0,1.0
55,1586,1.0,1.0,-0.0196078431372527,-0.0098039215686274
56,1587,1.0,1.0,-0.0196078431372527,-0.0098039215686274
57,1588,1.0,1.0,1.0,1.0
58,1593,0.6590909090909093,0.6704545454545454,0.7898989898989898,0.7919191919191919
59,1594,1.0,1.0,1.0,1.0
60,1595,-0.1111111111111112,-0.0740740740740739,-0.029702970297031,-0.0198019801980198
61,1596,-0.2500000000000007,-0.2083333333333332,-0.0399999999999986,-0.03
62,1599,1.0,1.0,0.7898989898989898,0.7919191919191919
63,1600,1.0,1.0,1.0,1.0
64,1608,0.76,0.768,0.6567656765676557,0.6600660066006601
65,1611,1.0,1.0,1.0,1.0
66,1612,1.0,1.0,1.0,1.0
67,1619,1.0,1.0,1.0,1.0
68,1620,1.0,1.0,1.0,1.0
69,1628,1.0,1.0,0.7898989898989898,0.7919191919191919
70,1629,0.5833333333333333,0.5972222222222222,0.4800000000000006,0.485
71,1630,-0.1111111111111112,-0.0740740740740739,-0.0196078431372527,-0.0098039215686274
72,1631,0.423076923076923,0.4423076923076923,-0.029702970297031,-0.0198019801980198
73,1632,0.423076923076923,0.4423076923076923,-0.029702970297031,-0.0198019801980198
74,1634,1.0,1.0,1.0,1.0
75,1635,1.0,1.0,1.0,1.0
76,1637,0.4409937888198758,0.4596273291925465,0.4800000000000006,0.485
77,1638,0.5833333333333333,0.5972222222222222,0.4800000000000006,0.485
78,1639,0.7000000000000001,0.71,0.540500736377025,0.544918998527246
79,1640,0.3181818181818182,0.3409090909090908,0.2925170068027213,0.2993197278911564
80,1642,0.6590909090909093,0.6704545454545454,0.540500736377025,0.544918998527246
81,1643,-0.1538461538461544,-0.1153846153846154,-0.029702970297031,-0.0198019801980198
82,1644,-0.1111111111111112,-0.0740740740740739,-0.029702970297031,-0.0198019801980198
83,1645,0.2799999999999999,0.304,-0.029702970297031,-0.0198019801980198
84,1646,1.0,1.0,1.0,1.0
85,1647,1.0,1.0,0.6567656765676557,0.6600660066006601
86,1648,1.0,1.0,0.6567656765676557,0.6600660066006601
87,1651,1.0,1.0,0.4800000000000006,0.485
88,1652,0.4409937888198758,0.4596273291925465,0.3696969696969704,0.3757575757575757
89,1653,0.4409937888198758,0.4596273291925465,0.4800000000000006,0.485
90,1657,1.0,1.0,1.0,1.0
91,1658,1.0,1.0,1.0,1.0
92,1661,0.76,0.768,0.6567656765676557,0.6600660066006601
93,1662,1.0,1.0,1.0,1.0
94,1663,1.0,1.0,0.6567656765676557,0.6600660066006601
95,1667,0.6296296296296295,0.6419753086419753,0.6567656765676557,0.6600660066006601
96,1677,1.0,1.0,1.0,1.0
97,1678,1.0,1.0,1.0,1.0
98,1683,1.0,1.0,1.0,1.0
99,1684,1.0,1.0,1.0,1.0
100,1687,1.0,1.0,-0.029702970297031,-0.0198019801980198
101,1688,1.0,1.0,-0.0196078431372527,-0.0098039215686274
102,1689,0.6296296296296295,0.6419753086419753,-0.0196078431372527,-0.0098039215686274
103,1690,0.2799999999999999,0.304,-0.029702970297031,-0.0198019801980198
104,1693,0.2799999999999999,0.304,-0.029702970297031,-0.0198019801980198
105,1695,0.6590909090909093,0.6704545454545454,0.7898989898989898,0.7919191919191919
106,1696,0.166666666666666,0.1944444444444444,0.3696969696969704,0.3757575757575757
107,1703,0.6296296296296295,0.6419753086419753,0.6567656765676557,0.6600660066006601
108,1704,-0.0714285714285719,-0.0357142857142855,-0.0196078431372527,-0.0098039215686274
109,1709,1.0,1.0,-0.0196078431372527,-0.0098039215686274
110,1714,1.0,1.0,0.4800000000000006,0.485
111,1715,1.0,1.0,1.0,1.0
112,1716,1.0,1.0,1.0,1.0
113,1717,0.76,0.768,0.4800000000000006,0.485
114,1721,1.0,1.0,1.0,1.0
115,1722,0.3181818181818182,0.3409090909090908,-0.0399999999999986,-0.03
116,1723,0.0683229813664594,0.0993788819875777,-0.0399999999999986,-0.03
117,1724,0.166666666666666,0.1944444444444444,-0.029702970297031,-0.0198019801980198
118,1725,1.0,1.0,1.0,1.0
119,1727,1.0,1.0,1.0,1.0
120,1728,0.5833333333333333,0.5972222222222222,0.6567656765676557,0.6600660066006601
121,1729,1.0,1.0,1.0,1.0
122,1730,0.2799999999999999,0.304,0.4800000000000006,0.485
123,1731,0.423076923076923,0.4423076923076923,0.6567656765676557,0.6600660066006601
124,1732,1.0,1.0,1.0,1.0
125,1733,0.5833333333333333,0.5972222222222222,0.6567656765676557,0.6600660066006601
126,1734,1.0,1.0,1.0,1.0
127,1737,0.6590909090909093,0.6704545454545454,0.4800000000000006,0.485
128,1738,0.5833333333333333,0.5972222222222222,0.4800000000000006,0.485
129,1739,0.4409937888198758,0.4596273291925465,0.540500736377025,0.6496598639455782
130,1740,0.3181818181818182,0.3409090909090908,0.3696969696969704,0.3757575757575757
131,1741,-0.1538461538461544,-0.1153846153846154,-0.029702970297031,-0.0198019801980198
132,1744,0.2799999999999999,0.304,-0.029702970297031,-0.0198019801980198
133,1749,0.0999999999999999,0.1299999999999999,0.2341678939617086,0.2415316642120766
134,1750,0.523809523809524,0.5396825396825398,0.3696969696969704,0.3757575757575757
135,1754,0.6590909090909093,0.6704545454545454,0.4800000000000006,0.485
136,1755,1.0,1.0,1.0,1.0
137,1756,0.2799999999999999,0.304,-0.029702970297031,-0.0198019801980198
138,1767,0.4409937888198758,0.4596273291925465,-0.0399999999999986,-0.03
139,1768,1.0,1.0,0.6462585034013607,0.6496598639455782
140,1769,-0.1111111111111112,-0.0740740740740739,-0.0196078431372527,-0.0098039215686274
141,1772,1.0,1.0,1.0,1.0
142,1773,1.0,1.0,0.4800000000000006,0.485
143,1775,1.0,1.0,1.0,1.0
144,1776,0.4409937888198758,0.4596273291925465,0.4800000000000006,0.485
145,1777,-0.2000000000000005,-0.1599999999999999,-0.029702970297031,-0.0198019801980198
146,1778,-0.2000000000000005,-0.1599999999999999,-0.0399999999999986,-0.03
147,1779,0.4409937888198758,0.4596273291925465,0.4800000000000006,0.485
148,1780,1.0,1.0,1.0,1.0
149,1781,0.76,0.768,0.6567656765676557,0.6600660066006601
150,1782,1.0,1.0,1.0,1.0
151,1783,1.0,1.0,1.0,1.0
152,1786,1.0,1.0,1.0,1.0
153,1791,0.76,0.768,0.6567656765676557,0.6600660066006601
154,1793,-0.2000000000000005,-0.1599999999999999,-0.029702970297031,-0.0198019801980198
155,1794,0.2799999999999999,0.304,-0.0399999999999986,-0.03
156,1795,1.0,1.0,1.0,1.0
157,1798,1.0,1.0,1.0,1.0
158,1799,1.0,1.0,1.0,1.0
159,1801,1.0,1.0,1.0,1.0
160,1802,1.0,1.0,1.0,1.0
161,1803,1.0,1.0,-0.0196078431372527,-0.0098039215686274
162,1806,1.0,1.0,-0.0196078431372527,-0.0098039215686274
163,1821,1.0,1.0,1.0,1.0
164,1835,1.0,1.0,1.0,1.0
165,1836,0.5833333333333333,0.5972222222222222,-0.0399999999999986,-0.03
166,1845,0.6590909090909093,0.6704545454545454,0.6462585034013607,0.6496598639455782
167,1849,0.5833333333333333,0.5972222222222222,0.6462585034013607,0.6496598639455782
168,1850,1.0,1.0,1.0,1.0
169,1851,1.0,1.0,1.0,1.0
170,1852,1.0,1.0,1.0,1.0
171,1853,1.0,1.0,1.0,1.0
172,1854,1.0,1.0,1.0,1.0
173,1855,1.0,1.0,1.0,1.0
174,1856,1.0,1.0,1.0,1.0
175,1859,1.0,1.0,1.0,1.0
176,1861,1.0,1.0,1.0,1.0
177,1862,0.8136645962732919,0.8198757763975155,0.4800000000000006,0.485
178,1867,0.6296296296296295,0.6419753086419753,0.6567656765676557,0.6600660066006601
179,1874,1.0,1.0,-0.0196078431372527,-0.0098039215686274
180,1878,0.6296296296296295,0.6419753086419753,0.6567656765676557,0.6600660066006601
181,1879,0.6296296296296295,0.6419753086419753,0.6567656765676557,0.6600660066006601
182,1880,1.0,1.0,1.0,1.0
183,1881,1.0,1.0,1.0,1.0
184,1882,0.76,0.768,0.6567656765676557,0.6600660066006601
185,1883,0.166666666666666,0.1944444444444444,-0.029702970297031,-0.0198019801980198
186,1884,0.423076923076923,0.4423076923076923,-0.0196078431372527,-0.0098039215686274
187,1887,1.0,1.0,1.0,1.0
188,1888,0.166666666666666,0.1944444444444444,0.3696969696969704,0.3757575757575757
189,1889,0.2799999999999999,0.304,-0.0505050505050489,-0.0404040404040404
190,1890,1.0,1.0,1.0,1.0
191,1893,1.0,1.0,1.0,1.0
192,1894,1.0,1.0,1.0,1.0
193,1895,0.8136645962732919,0.8198757763975155,0.4800000000000006,0.485
194,1897,1.0,1.0,1.0,1.0
195,1898,1.0,1.0,1.0,1.0
196,1899,1.0,1.0,1.0,1.0
197,1900,1.0,1.0,1.0,1.0
198,1901,1.0,1.0,1.0,1.0
199,1902,1.0,1.0,0.3696969696969704,0.485
200,1905,1.0,1.0,1.0,1.0
201,1906,1.0,1.0,0.4800000000000006,0.485
202,1907,1.0,1.0,1.0,1.0
203,1908,1.0,1.0,1.0,1.0
204,1909,1.0,1.0,1.0,1.0
205,1910,1.0,1.0,1.0,1.0
206,1911,1.0,1.0,1.0,1.0
207,1912,1.0,1.0,1.0,1.0
208,1913,1.0,1.0,1.0,1.0
209,1914,1.0,1.0,1.0,1.0
210,1915,1.0,1.0,1.0,1.0
211,1916,1.0,1.0,1.0,1.0
212,1917,1.0,1.0,1.0,1.0
213,1918,1.0,1.0,1.0,1.0
214,1920,1.0,1.0,1.0,1.0
215,1921,1.0,1.0,1.0,1.0
216,1922,1.0,1.0,1.0,1.0
217,1925,1.0,1.0,0.8468335787923413,0.8483063328424153
218,1926,-0.2000000000000005,-0.1599999999999999,-0.0505050505050489,-0.0404040404040404
219,1929,1.0,1.0,1.0,1.0
220,1930,1.0,1.0,1.0,1.0
221,1931,0.2799999999999999,0.304,-0.0399999999999986,-0.03
222,1934,1.0,1.0,-0.0196078431372527,-0.0098039215686274
223,1935,1.0,1.0,1.0,1.0
224,1939,1.0,1.0,0.4800000000000006,0.485
225,1942,0.76,0.768,-0.029702970297031,-0.0198019801980198
226,1944,0.76,0.768,-0.029702970297031,-0.0198019801980198
227,1945,1.0,1.0,1.0,1.0
228,1946,1.0,1.0,1.0,1.0
229,1947,1.0,1.0,0.4800000000000006,0.485
230,1948,0.6590909090909093,0.6704545454545454,0.7898989898989898,0.7919191919191919
231,1949,1.0,1.0,1.0,1.0
232,1950,1.0,1.0,1.0,1.0
233,1951,1.0,1.0,1.0,1.0
234,1952,1.0,1.0,1.0,1.0
235,1953,1.0,1.0,-0.0399999999999986,-0.03
236,1954,1.0,1.0,1.0,1.0
237,1956,1.0,1.0,-0.0196078431372527,-0.0098039215686274
238,1957,1.0,1.0,-0.0196078431372527,-0.0098039215686274
239,1959,1.0,1.0,-0.0196078431372527,-0.0098039215686274
240,1967,0.5833333333333333,0.5972222222222222,0.4800000000000006,0.485
241,1968,1.0,1.0,1.0,1.0
242,1969,0.76,0.768,0.4800000000000006,0.485
243,1970,1.0,1.0,1.0,1.0
244,1978,1.0,1.0,0.4800000000000006,0.485
245,1984,1.0,1.0,1.0,1.0
246,1985,1.0,1.0,1.0,1.0
247,1986,1.0,1.0,1.0,1.0
248,1987,1.0,1.0,0.2925170068027213,0.2993197278911564
249,1988,0.5833333333333333,0.5972222222222222,0.4800000000000006,0.485
250,1989,1.0,1.0,1.0,1.0
251,1996,0.166666666666666,0.1944444444444444,-0.0399999999999986,-0.03
252,1997,0.423076923076923,0.4423076923076923,0.4800000000000006,0.485
253,2002,1.0,1.0,1.0,1.0
254,2003,1.0,1.0,1.0,1.0
255,2004,1.0,1.0,1.0,1.0
256,2005,0.6590909090909093,0.6704545454545454,0.4800000000000006,0.485
