errorcategory,category_Krippendroffis_alpha
93,1.0
182,1.0
94,0.24
95,0.5476190476190477
96,1.0
97,-0.1875
98,1.0
99,1.0
100,-0.05555555555555558
101,0.40625
102,1.0
103,1.0
104,0.6274509803921569
105,0.40625
145,1.0
146,-0.11764705882352944
147,1.0
148,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,0.5476190476190477
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,0.6274509803921569
179,1.0
180,1.0
181,0.40625
average,0.8243764521312401
