record_id,session_id,username,sql_id,sql,nl_query,incorrect_parts,open_ended_feedback,error_classification,Code,Coder,duration,cur_id,batch_id,GT_sql
07cd3641-37d2-4d77-adc6-3145d6a1ed7b,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,JOIN,"The SQL query gives an opposite answer, it actually queries ""projects which hire staff for researcher roles"".",Get opposite answer; Miss a keyword; Misunderstand the query,A1a; I2,Zheng Z,250.24,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
43fe6397-5991-4649-93f7-b2799ca6bdc5,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"JOIN, project_staff, ON, projects.project_id = project_staff.project_id","The phrase of NL query is '...projects which did not hire any staff...'. The Ground truth query is correct which is '...WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff...)', however, the Hypothetical query,'... FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id ...', is incorrect.; The first type of error in Hypothetical query is incorrect representation because of a lack of negation.; The second type of error in Hypothetical query is inappropriate use of syntax because 'JOIN ...ON...' does not support negation and we should use 'NOT IN( SELECT ... FROM ...)'. ",Get opposite answer; Inappropriate syntax use,A1a; H2,Zheng Z,1590.209,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
c9da76da-8852-4f87-b6f7-46fbc71c97f5,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,WHERE project_staff.role_code = 'researcher',"1, ignore the key word ""Not""",Miss a keyword,A1a,Zheng Z,720.9490001,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
bb34cb0a-bb6f-43ff-8602-e9a4e7f9aafe,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2149,SELECT projects.project_details FROM projects JOIN project_staff ON projects.project_id = project_staff.project_id WHERE project_staff.role_code = 'researcher',List the project details of the projects which did not hire any staff for a researcher role.,"WHERE project_staff.role_code = 'researcher', projects.project_id = project_staff.project_id","The result query didn't catch the negation and returns the project details of projects that hire staff in a researcher role instead.
",Misunderstand the query; Miss a keyword,A1a,Zheng Z,6.946000099,1,1,SELECT project_details FROM Projects WHERE project_id NOT IN ( SELECT project_id FROM Project_Staff WHERE role_code  =  'researcher' )
083648b7-309e-494b-a65c-f23938a5529e,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid","Return a redundant column ""stuid"".",Returned a needless attribute; Inappropriate use of table,BL2; CL1,Zheng Z,156.9660001,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
44ed974d-1e31-4858-90d1-02ef847715a9,b0ef94eb-7038-4fff-8354-fdc70e4618e6,tianyi,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"SELECT, COUNT( * ) , plays_games.stuid, FROM, plays_games","The Result is incorrect. The answer based on the Ground truth query is 100, however, the answer on the produced Result table is 10 and it is only for StuID==1001.; The representation of the Hypothetical query is completely incorrect, because it misunderstands the meaning of the Natural language query. This shows in two ways: first, referring to an incorrect table, 'Sportsinfo' instead of 'plays_games'; second, referring to an incorrect column of the table, 'GameID' instead of 'StuID'.",misunderstand the query; inapporpriate use of table; inappropriate use of attribute,I2; CL1; BL1,Zheng Z,2213.004,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
a58284f0-43dc-4a16-b65d-0cf5a5f09e9e,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,,"1, index to a wrong table;
2, didn't understand the meaning of ""how many games""",Inappropriate use of table; misunderstand the query,CL1; I2,Zheng Z,137.1109998,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
6af39e05-6ffe-44be-bd00-6cea7df72725,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,532,"SELECT COUNT( * ) , plays_games.stuid FROM plays_games",How many games are played for all students?,"COUNT( * ) , plays_games.stuid, plays_games",the model failed to understand the column of interest and returns the number of students and the student id instead; the model uses the wrong table,Inappropriate returned attribute; Inappropriate use of table,CL1; I2; BL1,Zheng Z,77.39700007,2,1,SELECT sum(gamesplayed) FROM Sportsinfo
8f8b86db-8ace-4668-8794-357389deecea,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"Miss the ""descending order"" clause.",Miss a keyword (ORDER BY … DESC),KA1b,Zheng Z,90.1559999,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
0795597b-ab78-4837-8bab-46e8e2de4b04,7644ed70-1947-4cb1-82f8-5a54d5867b29,tianyi,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"The Result is incorrect. Based on the MARKET and FILM_MARKET_ESTIMATION tables, the Result should be '1978 1945' instead of '1945 1978 2000 1994'.; The reason is that the Hypothetical query is missing condition 'ORDER BY T1.Year DESC'.",Miss a keyword (ORDER BY … DESC),KA1b,Zheng Z,231.1190002,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
f66a55a0-bf2e-4248-b9fa-33ff33b5ef68,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,"1, ignore key word: ""order by"";",Miss a keyword (ORDER BY … DESC),KA1b,Zheng Z,684.2309999,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
02cb1d7d-139d-441f-a721-6ca87e9b5444,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2094,SELECT film_market_estimation.year FROM film_market_estimation JOIN market ON film_market_estimation.market_id = market.market_id WHERE market.country = 'Japan',"What are the years of film market estimation for the market of Japan, ordered by year descending?",,the result query did not order the result by year descending,Miss a keyword (ORDER BY),KA1b,Zheng Z,107.1900001,3,1,"SELECT T1.Year FROM film_market_estimation AS T1 JOIN market AS T2 ON T1.Market_ID  =  T2.Market_ID WHERE T2.Country  =  ""Japan"" ORDER BY T1.Year DESC"
fe310d80-15e4-44ca-9b5a-89ccef2719e1,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,,"The second returned column is supposed to be ""name_last"" rather than ""name_first"".",Inappropriate use of attribute,BL1,Zheng Z,192.0519998,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
d23ee2fb-529d-4641-967f-db9c1289ca9f,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,"player.name_first , player.name_first","The Hypothetical query is referring to an incorrect column of the table. The columns should be 'name_first , name_last', instead of 'player.name_first , player.name_first'.",Inappropriate use of attribute,BL1,Zheng Z,345.233,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
eb73e651-e21c-41a0-a662-dc8eba3a2e0e,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,"player.name_first , player.name_first","1, key word value error: ""last name"" to ""first name""",Inappropriate use of keyword,BL1,Zheng Z,170.25,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
4b4fe7a5-f641-4ae8-9527-0728fbfcaed0,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,1125,"SELECT player.name_first , player.name_first FROM player JOIN all_star ON player.player_id = all_star.player_id WHERE all_star.year = 1998",List the first and last name for players who participated in all star game in 1998.,"player.name_first , player.name_first",The result returns the first name twice instead of return the first and last name,Return redundant attributes; Miss an attribute in the result,BL2; BL3,Zheng Z,75.20099998,4,1,"SELECT name_first ,  name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id  =  T2.player_id WHERE YEAR  =  1998"
5d1b7600-a5ef-43a0-9eb5-6f708a59deb4,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,,"It does not include table ""Student"" although it uses information from that table.","Inappropriate use of table (know which table to use, but fail to include it in FROM statement)",CM4,Zheng Z,129.053,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
ac051fc5-9af8-4107-88a3-c96ed02d4490,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,"sportsinfo, WHERE student.sex = 'f' AND sportsinfo.sportname = 'football'","The Hypothetical query is referring to an incorrect table. The 'stuid' should be selected from table 'student' instead of 'sportsinfo'.; The column values in the Hypothetical query are not identical with the original ones in table. The values 'f' and 'football' should be upper cases instead of lower cases, otherwise, the system cannot find the corresponding results. ",Value error; Inappropriate use of table,D1a; CL1,Zheng Z,962.612,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
45108a22-9004-4f3b-9383-cc0fa8fe919d,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,sportsinfo.stuid,"1, index to wrong table;",Inappropriate use of table,CL1,Zheng Z,513.322,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
6e5fc824-3699-4661-8e75-4cecf6c026ce,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,2294,SELECT sportsinfo.stuid FROM sportsinfo WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',Show student ids who are female and play football.,WHERE student.sex = 'f' AND sportsinfo.sportname = 'football',there's no sex column in the sportsinfo table -- the query needs to use intersect or join to query the sex column in the student table,Inappropriate use of table,CE2,Zheng Z,95.15100002,5,1,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
dd64ffd8-98da-413b-a7fd-1eaa95913933,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,,"The column name used in the ""where"" condition should be ""engineer"" rather than ""engineers"".",Value error,D1b,Zheng Z,70.99500012,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
0211292b-fcce-4414-bafa-9f01bf0c6e20,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,,Incorrect column value in Hypothetical query. The correct one should be 'engineer' instead of 'engineers'. ,Value error,D1b,Zheng Z,371.8429999,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
88c1e809-282f-4838-bf49-63503dbc2d1c,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,WHERE person.age > 30 AND person.job = 'engineers',Incorrect column value in Hypothetical query. The correct one should be 'engineer' instead of 'engineers'. ,Value error,D1b,Zheng Z,5.898999929,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
d0f14a0f-3982-402b-813c-f3a688dc65e7,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,WHERE person.age > 30 AND person.job = 'engineers',"1, value error: didn't distinguish same word, different tense",Value error,D1b,Zheng Z,265.026,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
8c534351-67e1-453d-aff7-37e9f1c404f8,52191fac-0a3c-4fde-93f7-dffd7254a24c,toby,1274,SELECT COUNT( * ) FROM person WHERE person.age > 30 AND person.job = 'engineers',HOw many engineers are older than 30?,WHERE person.age > 30 AND person.job = 'engineers',"value error: should query for the job value ""engineer"" instead",Value error,D1b,Zheng Z,42.40799999,6,1,SELECT count(*) FROM Person WHERE age  >  30 AND job  =  'engineer'
f1c5c27c-f6d7-4486-adcf-c6baf22adcd4,4596cb3e-260b-42b6-8a5e-d5b36a5faf20,zhengzhang,251,SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,List the names of states that have more than 2 parks.,,"The returned (and GROUP BY) attribute name should be ""state"" rather than ""city"".",Inappropriate use of attribute,BL1; BE5,Zheng Z,197.2839999,7,1,SELECT state FROM park GROUP BY state HAVING count(*)  >  2;
66e2356f-1d95-473e-8be4-eecbcd5bd451,eaf0bdaa-b348-4fc5-9299-7dd8fc33f0d8,tianyi,251,SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,List the names of states that have more than 2 parks.,park.city,The Hypothetical query is referring to an incorrect column. The correct column should be 'state' instead of 'city'.,Inappropriatew use of attribute,BL1,Zheng Z,347.2250001,7,1,SELECT state FROM park GROUP BY state HAVING count(*)  >  2;
1beef434-897a-4bc1-8cba-8f1f50e5fa28,6de1d0b5-c758-4cee-a6f3-d361ba658a4b,zhengning,251,SELECT park.city FROM park GROUP BY park.city HAVING COUNT( * ) > 2,List the names of states that have more than 2 parks.,,"1, misunderstand the sentence meaning: should be parks more than 2, not city more than 2",Misunderstand the query,I1,Zheng Z,582.8529999,7,1,SELECT state FROM park GROUP BY state HAVING count(*)  >  2;
